Unnamed: 0,Template,Linea,Cuenta,Referencia,Producto,Variante,Clase,Bodega,Cantidad
8537,10486,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00028125,G028 FILTRO COMBUSTIBLE 2o. MERCEDEZ BENZ.,125 PF950,C,Ubicaciones físicas / BD7 / Existencias,1.0
8538,10486,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00028125,G028 FILTRO COMBUSTIBLE 2o. MERCEDEZ BENZ.,125 PF950,C,Ubicaciones físicas / BD1 / Existencias,33.0
8539,10486,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00028125,G028 FILTRO COMBUSTIBLE 2o. MERCEDEZ BENZ.,125 PF950,C,Physical Locations / BD2 / Existencias,1.0
8540,10486,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00028125,G028 FILTRO COMBUSTIBLE 2o. MERCEDEZ BENZ.,125 PF950,C,Ubicaciones físicas / BD6 / Existencias,5.0
8541,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD6 / Entrada,6.0
8542,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD6 / Existencias,3.0
8543,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Physical Locations / BD5 / Existencias,11.0
8544,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD4 / Entrada,2.0
8545,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD4 / Existencias,2.0
8546,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Physical Locations / BD3 / Existencias,11.0
8547,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Physical Locations / BD2 / Existencias,4.0
8548,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD1 / Existencias,25.0
8549,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD9 / Existencias,3.0
8550,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD8 / Existencias,1.0
8551,10487,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00311125,G311 FILTRO COMBUSTIBLE KOMATSU 12455055700,125 PF981,C,Ubicaciones físicas / BD7 / Existencias,3.0
8552,10488,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00888125,G888 FILTRO COMBUSTIBLE SISTEMA DAVCO 380 Y 382,125 PF9814,C,Ubicaciones físicas / BD11 / Existencias,1.0
8553,10488,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00888125,G888 FILTRO COMBUSTIBLE SISTEMA DAVCO 380 Y 382,125 PF9814,C,Ubicaciones físicas / BD1 / Existencias,9.0
8554,10488,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00888125,G888 FILTRO COMBUSTIBLE SISTEMA DAVCO 380 Y 382,125 PF9814,C,Ubicaciones físicas / BD7 / Existencias,1.0
8555,10490,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00879125,G879 FILTRO ELEMENTO COMBUSTIBLE DODGE 4500 5000,125 PF9870,C,Ubicaciones físicas / BD6 / Existencias,1.0
8556,10490,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00879125,G879 FILTRO ELEMENTO COMBUSTIBLE DODGE 4500 5000,125 PF9870,C,Physical Locations / BD3 / Existencias,1.0
8557,10490,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00879125,G879 FILTRO ELEMENTO COMBUSTIBLE DODGE 4500 5000,125 PF9870,C,Ubicaciones físicas / BD4 / Existencias,1.0
8558,10490,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00879125,G879 FILTRO ELEMENTO COMBUSTIBLE DODGE 4500 5000,125 PF9870,C,Ubicaciones físicas / BD8 / Existencias,1.0
