,store_name,product_ref,año,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
481,0,BAE03894125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
482,0,BAE04014125,0.0,0,0.0,0.0,0.0,0.0,0.0,80369.0
483,SUCURSAL CALLE 6,BAE04020125,2025.0,37,1.0,0.219942,1.0,0.8,12.0,102748.02
484,0,BAE04026125,0.0,0,0.0,0.0,0.0,0.0,0.0,48029.0
485,0,BAE04035125,0.0,0,0.0,0.0,0.0,0.0,0.0,110839.97
486,0,BAE04036125,0.0,0,0.0,0.0,0.0,0.0,0.0,89554.0
487,0,BAE04047125,0.0,0,0.0,0.0,0.0,0.0,0.0,27845.61
488,0,BAE04050125,0.0,0,0.0,0.0,0.0,0.0,0.0,25052.0
489,0,BAE04066125,0.0,0,0.0,0.0,0.0,0.0,0.0,14235.86
490,0,BAE04071125,0.0,0,0.0,0.0,0.0,0.0,0.0,19222.14
491,0,BAE04081125,0.0,0,0.0,0.0,0.0,0.0,0.0,25549.0
492,0,BAE04103125,0.0,0,0.0,0.0,0.0,0.0,0.0,16575.68
493,0,BAE04106125,0.0,0,0.0,0.0,0.0,0.0,0.0,22768.38
494,0,BAE04108125,0.0,0,0.0,0.0,0.0,0.0,0.0,6809.76
495,0,BAE04109125,0.0,0,0.0,0.0,0.0,0.0,0.0,21161.15
496,0,BAE04113125,0.0,0,0.0,0.0,0.0,0.0,0.0,9349.57
497,0,BAE04114125,0.0,0,0.0,0.0,0.0,0.0,0.0,18419.15
498,0,BAE04117125,0.0,0,0.0,0.0,0.0,0.0,0.0,42839.93
499,0,BAE04124125,0.0,0,0.0,0.0,0.0,0.0,0.0,42600.0
500,0,BAE04135125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
501,0,BAE04141125,0.0,0,0.0,0.0,0.0,0.0,0.0,24889.22
502,0,BAE04160125,0.0,0,0.0,0.0,0.0,0.0,0.0,22517.0
503,0,BAE04190125,0.0,0,0.0,0.0,0.0,0.0,0.0,25691.76
504,0,BAE04191125,0.0,0,0.0,0.0,0.0,0.0,0.0,24256.95
505,0,BAE04205125,0.0,0,0.0,0.0,0.0,0.0,0.0,35613.16
506,0,BAE04240125,0.0,0,0.0,0.0,0.0,0.0,0.0,47176.0
507,0,BAE04241125,0.0,0,0.0,0.0,0.0,0.0,0.0,16642.12
508,0,BAE04265125,0.0,0,0.0,0.0,0.0,0.0,0.0,11287.95
509,0,BAE04270125,0.0,0,0.0,0.0,0.0,0.0,0.0,14330.28
510,0,BAE04293125,0.0,0,0.0,0.0,0.0,0.0,0.0,29450.41
511,0,BAE04304125,0.0,0,0.0,0.0,0.0,0.0,0.0,26585.17
512,0,BAE04309125,0.0,0,0.0,0.0,0.0,0.0,0.0,31218.73
513,0,BAE04315125,0.0,0,0.0,0.0,0.0,0.0,0.0,37052.53
514,0,BAE04369125,0.0,0,0.0,0.0,0.0,0.0,0.0,24342.34
515,0,BAE04416125,0.0,0,0.0,0.0,0.0,0.0,0.0,42091.23
516,0,BAE04444125,0.0,0,0.0,0.0,0.0,0.0,0.0,25413.17
517,0,BAE04517125,0.0,0,0.0,0.0,0.0,0.0,0.0,12089.53
518,0,BAE04520125,0.0,0,0.0,0.0,0.0,0.0,0.0,27000.0
519,0,BAE04524125,0.0,0,0.0,0.0,0.0,0.0,0.0,78293.0
520,0,BAE04562125,0.0,0,0.0,0.0,0.0,0.0,0.0,18186.1
521,0,BAE04641125,0.0,0,0.0,0.0,0.0,0.0,0.0,26333.88
522,0,BAE04671125,0.0,0,0.0,0.0,0.0,0.0,0.0,24137.0
523,0,BAE04672125,0.0,0,0.0,0.0,0.0,0.0,0.0,25102.84
524,0,BAE04736125,0.0,0,0.0,0.0,0.0,0.0,0.0,82043.17
525,0,BAE04750125,0.0,0,0.0,0.0,0.0,0.0,0.0,17475.87
526,0,BAE04893125,0.0,0,0.0,0.0,0.0,0.0,0.0,130050.0
527,0,BAE04978125,0.0,0,0.0,0.0,0.0,0.0,0.0,49537.74
528,0,BAE05001125,0.0,0,0.0,0.0,0.0,0.0,0.0,90836.27
529,0,BAE05012125,0.0,0,0.0,0.0,0.0,0.0,0.0,14518.68
530,0,BAE05029125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
531,0,BAE05091125,0.0,0,0.0,0.0,0.0,0.0,0.0,5647.23
532,0,BAE05171125,0.0,0,0.0,0.0,0.0,0.0,0.0,4997.49
533,0,BAE05447125,0.0,0,0.0,0.0,0.0,0.0,0.0,22495.0
534,0,BAE05465125,0.0,0,0.0,0.0,0.0,0.0,0.0,3265.04
535,0,BAE06001125,0.0,0,0.0,0.0,0.0,0.0,0.0,213936.8
536,0,BAE06003125,0.0,0,0.0,0.0,0.0,0.0,0.0,263961.5
537,0,BAE06004125,0.0,0,0.0,0.0,0.0,0.0,0.0,21563.23
538,0,BAE06168125,0.0,0,0.0,0.0,0.0,0.0,0.0,200244.52
539,0,BAE06235125,0.0,0,0.0,0.0,0.0,0.0,0.0,273091.0
540,0,BAE06237125,0.0,0,0.0,0.0,0.0,0.0,0.0,178804.47
541,0,BAE06250125,0.0,0,0.0,0.0,0.0,0.0,0.0,20849.88
542,0,BAE06268125,0.0,0,0.0,0.0,0.0,0.0,0.0,287961.67
543,0,BAE06281125,0.0,0,0.0,0.0,0.0,0.0,0.0,56607.0
544,0,BAE06283125,0.0,0,0.0,0.0,0.0,0.0,0.0,164837.5
545,0,BAE06284125,0.0,0,0.0,0.0,0.0,0.0,0.0,87818.08
546,0,BAE06319125,0.0,0,0.0,0.0,0.0,0.0,0.0,66979.7
547,0,BAE06327125,0.0,0,0.0,0.0,0.0,0.0,0.0,130598.0
548,0,BAE06342125,0.0,0,0.0,0.0,0.0,0.0,0.0,220753.94
549,0,BAE06350125,0.0,0,0.0,0.0,0.0,0.0,0.0,149158.32
550,0,BAE06378125,0.0,0,0.0,0.0,0.0,0.0,0.0,12747.42
551,0,BAE06419125,0.0,0,0.0,0.0,0.0,0.0,0.0,10570.5
552,0,BAE06456125,0.0,0,0.0,0.0,0.0,0.0,0.0,3549.99
553,0,BAE06487125,0.0,0,0.0,0.0,0.0,0.0,0.0,32051.42
554,0,BAE06500125,0.0,0,0.0,0.0,0.0,0.0,0.0,66665.86
555,0,BAE06535125,0.0,0,0.0,0.0,0.0,0.0,0.0,11971.96
556,0,BAE06539125,0.0,0,0.0,0.0,0.0,0.0,0.0,4590.88
557,0,BAE06550125,0.0,0,0.0,0.0,0.0,0.0,0.0,15434.25
558,0,BAE06581125,0.0,0,0.0,0.0,0.0,0.0,0.0,7945.84
559,0,BAE06615125,0.0,0,0.0,0.0,0.0,0.0,0.0,12626.58
560,0,BAE06729125,0.0,0,0.0,0.0,0.0,0.0,0.0,26220.15
561,0,BAE06730125,0.0,0,0.0,0.0,0.0,0.0,0.0,49477.0
562,0,BAE06731125,0.0,0,0.0,0.0,0.0,0.0,0.0,16749.7
563,0,BAE06732125,0.0,0,0.0,0.0,0.0,0.0,0.0,4412.21
564,0,BAE06878125,0.0,0,0.0,0.0,0.0,0.0,0.0,33520.0
565,0,BAE06929125,0.0,0,0.0,0.0,0.0,0.0,0.0,76290.33
566,0,BAE06930125,0.0,0,0.0,0.0,0.0,0.0,0.0,42476.0
567,0,BAE08004125,0.0,0,0.0,0.0,0.0,0.0,0.0,204674.0
568,0,BAE08012125,0.0,0,0.0,0.0,0.0,0.0,0.0,39286.0
569,0,BAE08042125,0.0,0,0.0,0.0,0.0,0.0,0.0,40276.33
570,0,BAE08053125,0.0,0,0.0,0.0,0.0,0.0,0.0,570937.0
571,0,BAE08064125,0.0,0,0.0,0.0,0.0,0.0,0.0,281380.0
572,0,BAE08073125,0.0,0,0.0,0.0,0.0,0.0,0.0,82881.17
573,0,BAE08074125,0.0,0,0.0,0.0,0.0,0.0,0.0,416335.0
574,0,BAE08077125,0.0,0,0.0,0.0,0.0,0.0,0.0,78484.94
575,0,BAE08081125,0.0,0,0.0,0.0,0.0,0.0,0.0,99041.7
576,0,BAE08089125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
577,0,BAE08091125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
578,0,BAE08092125,0.0,0,0.0,0.0,0.0,0.0,0.0,191380.63
579,0,BAE08094125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
580,0,BAE08095125,0.0,0,0.0,0.0,0.0,0.0,0.0,13485.09
581,0,BAE08096125,0.0,0,0.0,0.0,0.0,0.0,0.0,62638.86
582,0,BAE08097125,0.0,0,0.0,0.0,0.0,0.0,0.0,31102.34
583,0,BAE08098125,0.0,0,0.0,0.0,0.0,0.0,0.0,124811.49
584,0,BAE08102125,0.0,0,0.0,0.0,0.0,0.0,0.0,199415.09
585,0,BAE08103125,0.0,0,0.0,0.0,0.0,0.0,0.0,311439.0
586,0,BAE08105125,0.0,0,0.0,0.0,0.0,0.0,0.0,286421.0
587,0,BAE08107125,0.0,0,0.0,0.0,0.0,0.0,0.0,329985.0
588,0,BAE08111125,0.0,0,0.0,0.0,0.0,0.0,0.0,79697.47
589,0,BAE08112125,0.0,0,0.0,0.0,0.0,0.0,0.0,127821.0
590,0,BAE08113125,0.0,0,0.0,0.0,0.0,0.0,0.0,304201.6
591,0,BAE08115125,0.0,0,0.0,0.0,0.0,0.0,0.0,87923.92
592,0,BAE08120125,0.0,0,0.0,0.0,0.0,0.0,0.0,173634.79
593,0,BAE08124125,0.0,0,0.0,0.0,0.0,0.0,0.0,193560.81
594,0,BAE08128125,0.0,0,0.0,0.0,0.0,0.0,0.0,101927.7
595,0,BAE08140125,0.0,0,0.0,0.0,0.0,0.0,0.0,245237.22
596,0,BAE08141125,0.0,0,0.0,0.0,0.0,0.0,0.0,227404.44
597,SUCURSAL BUCARAMANGA,BAE08142125,2025.0,37,1.0,0.20516,1.0,22155.06,0.0,154902.79
598,0,BAE08164125,0.0,0,0.0,0.0,0.0,0.0,0.0,311417.0
599,0,BAE08167125,0.0,0,0.0,0.0,0.0,0.0,0.0,60748.5
600,0,BAE08172125,0.0,0,0.0,0.0,0.0,0.0,0.0,370791.55
601,0,BAE08173125,0.0,0,0.0,0.0,0.0,0.0,0.0,27525.25
602,0,BAE08201125,0.0,0,0.0,0.0,0.0,0.0,0.0,231362.86
603,0,BAE08207125,0.0,0,0.0,0.0,0.0,0.0,0.0,80993.72
604,0,BAE08210125,0.0,0,0.0,0.0,0.0,0.0,0.0,38507.14
605,0,BAE08217125,0.0,0,0.0,0.0,0.0,0.0,0.0,67310.0
606,SUCURSAL MEDELLIN,BAE08232125,2025.0,37,1.0,0.210231,1.0,43934.52,0.0,122614.23
607,0,BAE09004125,0.0,0,0.0,0.0,0.0,0.0,0.0,133482.0
608,0,BAE09012125,0.0,0,0.0,0.0,0.0,0.0,0.0,7943.25
609,0,BAE09013125,0.0,0,0.0,0.0,0.0,0.0,0.0,456442.4
610,0,BAE09058125,0.0,0,0.0,0.0,0.0,0.0,0.0,256353.0
611,0,BAE09066125,0.0,0,0.0,0.0,0.0,0.0,0.0,230921.77
612,0,BAE09074125,0.0,0,0.0,0.0,0.0,0.0,0.0,160709.0
613,0,BAE09089125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
614,0,BAE09092125,0.0,0,0.0,0.0,0.0,0.0,0.0,101806.27
615,0,BAE09096125,0.0,0,0.0,0.0,0.0,0.0,0.0,52262.6
616,0,BAE09098125,0.0,0,0.0,0.0,0.0,0.0,0.0,154625.0
