,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
99748,MOSTRADOR COTA,BLS00644125,2025.0,36,0.536286,2.0,22887.59
101800,MOSTRADOR COTA,BLS10050125,2025.0,36,1.809504,4.0,14670.17
102199,MOSTRADOR COTA,BLS10141125,2025.0,36,0.535781,1.0,87824.01
102598,MOSTRADOR COTA,BLS10286125,2025.0,36,1.578533,2.0,94550.23
105106,MOSTRADOR COTA,BWS60078125,2025.0,36,0.461518,2.0,19364.96
106246,MOSTRADOR COTA,DAB02028025,2025.0,36,0.701387,1.0,20835.64
106360,MOSTRADOR COTA,DAB02524025,2025.0,36,1.038827,1.0,51706.08
106588,MOSTRADOR COTA,DAB02570025,2025.0,36,26.057734,22.0,13507.71
107101,MOSTRADOR COTA,DAB02666025,2025.0,36,2.53948,3.0,11371.65
107158,MOSTRADOR COTA,DAB02671025,2025.0,36,4.893294,1.0,7630.5
107329,MOSTRADOR COTA,DAB02690025,2025.0,36,0.46641,1.0,33037.07
107443,MOSTRADOR COTA,DAB02702025,2025.0,36,4.018809,2.0,37347.94
107956,MOSTRADOR COTA,DAB02783025,2025.0,36,3.292788,3.0,25921.71
108013,MOSTRADOR COTA,DAB02788025,2025.0,36,6.117779,2.0,21285.17
108412,MOSTRADOR COTA,DAB02856025,2025.0,36,0.51478,1.0,26249.95
109609,MOSTRADOR COTA,DAB02937025,2025.0,36,4.304889,3.0,31327.41
109666,MOSTRADOR COTA,DAB02946025,2025.0,36,0.439054,2.0,17678.37
109894,MOSTRADOR COTA,DAB02968025,2025.0,36,6.26221,21.0,20422.35
110464,MOSTRADOR COTA,DAB02982025,2025.0,36,3.450926,3.0,48785.61
110977,MOSTRADOR COTA,DAB04028025,2025.0,36,0.70139,1.0,11646.81
111889,MOSTRADOR COTA,DAB04690025,2025.0,36,0.465395,1.0,12683.06
112231,MOSTRADOR COTA,DAB04783025,2025.0,36,2.240559,3.0,11951.86
112288,MOSTRADOR COTA,DAB04788025,2025.0,36,0.533418,2.0,11364.7
113314,MOSTRADOR COTA,DAB04937025,2025.0,36,3.27726,3.0,11527.63
113371,MOSTRADOR COTA,DAB04946025,2025.0,36,0.439051,2.0,10220.85
113542,MOSTRADOR COTA,DAB04968025,2025.0,36,3.268402,9.0,10352.73
113770,MOSTRADOR COTA,DAB04982025,2025.0,36,2.561338,2.0,24978.02
114112,MOSTRADOR COTA,DAB08010025,2025.0,36,0.932466,3.0,39754.24
114454,MOSTRADOR COTA,DAB08027025,2025.0,36,0.203565,1.0,35308.46
115993,MOSTRADOR COTA,DAB08108025,2025.0,36,1.208485,2.0,20187.1
117361,MOSTRADOR COTA,DAB08161025,2025.0,36,1.172804,3.0,17481.48
117532,MOSTRADOR COTA,DAB08168025,2025.0,36,3.166202,2.0,18729.84
117646,MOSTRADOR COTA,DAB08170025,2025.0,36,3.838898,16.0,16758.17
118102,MOSTRADOR COTA,DAB08190025,2025.0,36,0.916242,4.0,22069.66
118159,MOSTRADOR COTA,DAB08191025,2025.0,36,0.305944,1.0,32226.55
119242,MOSTRADOR COTA,DAB08240025,2025.0,36,0.202315,1.0,56181.98
119527,MOSTRADOR COTA,DAB08256025,2025.0,36,1.305454,2.0,23528.48
120496,MOSTRADOR COTA,DAB09027025,2025.0,36,0.203565,1.0,21904.61
122491,MOSTRADOR COTA,DAB09213025,2025.0,36,1.019374,2.0,15179.24
122947,MOSTRADOR COTA,DAB09240025,2025.0,36,0.202309,1.0,22728.53
124315,MOSTRADOR COTA,DAB12852025,2025.0,36,0.592195,2.0,23425.45
124771,MOSTRADOR COTA,DAB14570025,2025.0,36,25.214302,22.0,9774.98
124828,MOSTRADOR COTA,DAB14666025,2025.0,36,2.253037,3.0,12885.22
127678,MOSTRADOR COTA,DAC00037189,2025.0,36,0.380734,1.0,5315.94
133036,MOSTRADOR COTA,DAC00174025,2025.0,36,0.4,2.0,56291.03
134347,MOSTRADOR COTA,DAC00212020,2025.0,36,0.210168,1.0,12634.8
139306,MOSTRADOR COTA,DAE01019136,2025.0,36,0.2,1.0,12723.15
141928,MOSTRADOR COTA,DAE01072189,2025.0,36,2.540353,12.0,4911.54
144550,MOSTRADOR COTA,DAE01122189,2025.0,36,5.012179,24.0,6473.08
145747,MOSTRADOR COTA,DAE01142189,2025.0,36,0.2,1.0,7363.47
148882,MOSTRADOR COTA,DAE02548025,2025.0,36,0.2,1.0,40706.72
150193,MOSTRADOR COTA,DAE02983025,2025.0,36,0.726074,1.0,10565.22
151504,MOSTRADOR COTA,DAE04066025,2025.0,36,1.025323,2.0,13494.34
152587,MOSTRADOR COTA,DAE04142025,2025.0,36,0.200007,1.0,17875.14
154069,MOSTRADOR COTA,DAE04304025,2025.0,36,0.603733,2.0,25720.4
155608,MOSTRADOR COTA,DAE04524025,2025.0,36,0.321034,1.0,19428.64
156064,MOSTRADOR COTA,DAE04653025,2025.0,36,0.218626,1.0,25023.21
169744,MOSTRADOR COTA,DAE08142025,2025.0,36,0.328027,1.0,36760.07
170257,MOSTRADOR COTA,DAE09045025,2025.0,36,0.200058,1.0,28146.09
170656,MOSTRADOR COTA,DAE09142025,2025.0,36,0.2,1.0,10031.0
174988,MOSTRADOR COTA,DAP02020025,2025.0,36,1.361601,2.0,25852.39
175045,MOSTRADOR COTA,DAP02988025,2025.0,36,0.65198,1.0,69409.47
175159,MOSTRADOR COTA,DAP04020025,2025.0,36,1.289023,2.0,7625.26
176242,MOSTRADOR COTA,DAP08231025,2025.0,36,0.580402,1.0,17304.0
176983,MOSTRADOR COTA,DAR02017025,2025.0,36,0.600027,3.0,21859.54
178807,MOSTRADOR COTA,DAR02142025,2025.0,36,0.2,1.0,33342.68
179719,MOSTRADOR COTA,DAR02265025,2025.0,36,1.554123,1.0,42286.93
180004,MOSTRADOR COTA,DAR02304025,2025.0,36,0.886227,3.0,47578.62
180859,MOSTRADOR COTA,DAR02450025,2025.0,36,0.898487,1.0,57714.77
182227,MOSTRADOR COTA,DAR02708025,2025.0,36,2.687362,2.0,37002.06
183766,MOSTRADOR COTA,DAR03066025,2025.0,36,1.638104,1.0,19283.91
183937,MOSTRADOR COTA,DAR03069025,2025.0,36,0.240495,1.0,23917.16
184336,MOSTRADOR COTA,DAR03114025,2025.0,36,0.408265,2.0,35975.28
186616,MOSTRADOR COTA,DAR08045025,2025.0,36,0.200058,1.0,42266.94
186730,MOSTRADOR COTA,DAR08049025,2025.0,36,0.329461,1.0,32481.15
194311,MOSTRADOR COTA,DCE00126138,2025.0,36,0.2,1.0,25586.3
195223,MOSTRADOR COTA,DCE00390137,2025.0,36,1.030267,3.0,31858.76
199270,MOSTRADOR COTA,DCE00537189,2025.0,36,0.2,1.0,8518.74
200752,MOSTRADOR COTA,DCE00580189,2025.0,36,3.542542,2.0,6436.7
202747,MOSTRADOR COTA,DCE00662189,2025.0,36,3.239424,8.0,4345.67
204685,MOSTRADOR COTA,DCE00833189,2025.0,36,72.091938,335.0,6048.61
207364,MOSTRADOR COTA,DCE01002137,2025.0,36,1.087631,3.0,25822.25
207421,MOSTRADOR COTA,DCE01004189,2025.0,36,0.620663,1.0,10143.0
208390,MOSTRADOR COTA,DCE10126137,2025.0,36,0.615712,2.0,28845.97
209302,MOSTRADOR COTA,DCE20126138,2025.0,36,0.251518,1.0,39042.81
209359,MOSTRADOR COTA,DCE20128138,2025.0,36,0.20189,1.0,34260.63
210214,MOSTRADOR COTA,DCS00060189,2025.0,36,4.385092,2.0,5276.25
212608,MOSTRADOR COTA,DCS00331189,2025.0,36,0.402673,2.0,7124.0
213007,MOSTRADOR COTA,DCS00342189,2025.0,36,6.855003,9.0,9595.17
213235,MOSTRADOR COTA,DCS00343189,2025.0,36,0.80292,2.0,10487.92
214261,MOSTRADOR COTA,DCS00539137,2025.0,36,0.230837,1.0,63403.22
214489,MOSTRADOR COTA,DCS00540189,2025.0,36,6.408347,12.0,19455.22
214945,MOSTRADOR COTA,DCS00679004,2025.0,36,3.058903,10.0,25000.0
216199,MOSTRADOR COTA,DCS00759137,2025.0,36,0.407126,2.0,83193.0
230335,MOSTRADOR COTA,DLE01003189,2025.0,36,0.587109,1.0,6809.0
230677,MOSTRADOR COTA,DLE01323189,2025.0,36,1.211732,2.0,5487.0
231133,MOSTRADOR COTA,DLS00024189,2025.0,36,0.442987,2.0,8452.28
232387,MOSTRADOR COTA,DLS00136189,2025.0,36,4.509572,2.0,20060.94
233812,MOSTRADOR COTA,DLS00268189,2025.0,36,1.346847,4.0,7749.28
233926,MOSTRADOR COTA,DLS00278189,2025.0,36,0.712274,3.0,6794.65
234268,MOSTRADOR COTA,DLS00296189,2025.0,36,36.585269,96.0,12645.75
235180,MOSTRADOR COTA,DLS00738189,2025.0,36,0.348264,1.0,9584.5
238714,PRINCIPAL COTA,ALG10W30030,2025.0,36,0.0,0.0,118284.15
239626,PRINCIPAL COTA,ALQ110W3030,2025.0,36,0.0,0.0,22885.48
240367,PRINCIPAL COTA,BAB02013125,2025.0,36,0.0,0.0,229597.7
240880,PRINCIPAL COTA,BAB02570125,2025.0,36,0.0,0.0,27728.35
241165,PRINCIPAL COTA,BAB02663125,2025.0,36,0.0,0.0,45353.89
241222,PRINCIPAL COTA,BAB02666125,2025.0,36,0.0,0.0,21508.32
241678,PRINCIPAL COTA,BAB02772125,2025.0,36,0.0,0.0,22808.28
242818,PRINCIPAL COTA,BAB02986125,2025.0,36,0.0,0.0,21364.41
243502,PRINCIPAL COTA,BAB04666125,2025.0,36,0.0,0.0,9168.06
244015,PRINCIPAL COTA,BAB04852125,2025.0,36,0.0,0.0,57785.99
244186,PRINCIPAL COTA,BAB04873125,2025.0,36,0.0,0.0,103511.0
247321,PRINCIPAL COTA,BAB08211125,2025.0,36,0.0,0.0,172760.0
248176,PRINCIPAL COTA,BAB09086125,2025.0,36,0.0,0.0,54896.0
248404,PRINCIPAL COTA,BAB09144125,2025.0,36,0.0,0.0,60835.0
249772,PRINCIPAL COTA,BAC00083125,2025.0,36,0.0,0.0,74394.39
252394,PRINCIPAL COTA,BAC00171125,2025.0,36,0.0,0.0,33144.0
256897,PRINCIPAL COTA,BAE02117125,2025.0,36,0.0,0.0,50232.38
256954,PRINCIPAL COTA,BAE02122125,2025.0,36,0.0,0.0,76344.49
258835,PRINCIPAL COTA,BAE02506125,2025.0,36,0.0,0.0,66886.11
258949,PRINCIPAL COTA,BAE02518125,2025.0,36,0.0,0.0,76283.55
261172,PRINCIPAL COTA,BAE04109125,2025.0,36,0.0,0.0,21161.15
262369,PRINCIPAL COTA,BAE04524125,2025.0,36,0.0,0.0,78293.0
262654,PRINCIPAL COTA,BAE04736125,2025.0,36,0.0,0.0,82043.17
263509,PRINCIPAL COTA,BAE06237125,2025.0,36,0.0,0.0,178804.47
268069,PRINCIPAL COTA,BAE12047125,2025.0,36,0.0,0.0,1.0
270121,PRINCIPAL COTA,BAR02047125,2025.0,36,0.0,0.0,29101.12
270235,PRINCIPAL COTA,BAR02111125,2025.0,36,0.0,0.0,68400.0
270862,PRINCIPAL COTA,BAR03068125,2025.0,36,0.0,0.0,27668.11
275023,PRINCIPAL COTA,BCE00336125,2025.0,36,0.0,0.0,8486.09
275422,PRINCIPAL COTA,BCE00502125,2025.0,36,0.0,0.0,18695.98
277417,PRINCIPAL COTA,BCE00775125,2025.0,36,0.0,0.0,74086.0
278386,PRINCIPAL COTA,BCE00863125,2025.0,36,0.0,0.0,82477.92
279127,PRINCIPAL COTA,BCE00940125,2025.0,36,0.0,0.0,20300.58
279583,PRINCIPAL COTA,BCE00987125,2025.0,36,0.0,0.0,59390.38
279811,PRINCIPAL COTA,BCE01000125,2025.0,36,0.0,0.0,79575.3
279982,PRINCIPAL COTA,BCE01040125,2025.0,36,0.0,0.0,55924.0
280666,PRINCIPAL COTA,BCE10775125,2025.0,36,0.0,0.0,10347.94
281008,PRINCIPAL COTA,BCE10987125,2025.0,36,0.0,0.0,181509.0
281578,PRINCIPAL COTA,BCS00007125,2025.0,36,0.0,0.0,16846.67
281920,PRINCIPAL COTA,BCS00019125,2025.0,36,0.0,0.0,22450.09
282034,PRINCIPAL COTA,BCS00026125,2025.0,36,0.0,0.0,36527.33
282718,PRINCIPAL COTA,BCS00063125,2025.0,36,0.0,0.0,19306.08
282775,PRINCIPAL COTA,BCS00064125,2025.0,36,0.0,0.0,22210.18
282832,PRINCIPAL COTA,BCS00065125,2025.0,36,0.0,0.0,19125.12
284542,PRINCIPAL COTA,BCS00216125,2025.0,36,0.0,0.0,60156.83
285511,PRINCIPAL COTA,BCS00273125,2025.0,36,0.0,0.0,46034.26
286195,PRINCIPAL COTA,BCS00306125,2025.0,36,0.0,0.0,52261.13
286480,PRINCIPAL COTA,BCS00318125,2025.0,36,0.0,0.0,31437.08
286594,PRINCIPAL COTA,BCS00329125,2025.0,36,0.0,0.0,32553.9
286879,PRINCIPAL COTA,BCS00339125,2025.0,36,0.0,0.0,49681.14
287107,PRINCIPAL COTA,BCS00347125,2025.0,36,0.0,0.0,27086.06
287164,PRINCIPAL COTA,BCS00348125,2025.0,36,0.0,0.0,36935.74
287734,PRINCIPAL COTA,BCS00387125,2025.0,36,0.0,0.0,52872.88
288874,PRINCIPAL COTA,BCS00462125,2025.0,36,0.0,0.0,109340.45
290071,PRINCIPAL COTA,BCS00533125,2025.0,36,0.0,0.0,75643.81
290242,PRINCIPAL COTA,BCS00536125,2025.0,36,0.0,0.0,71469.64
290983,PRINCIPAL COTA,BCS00564125,2025.0,36,0.0,0.0,179846.05
292009,PRINCIPAL COTA,BCS00605125,2025.0,36,0.0,0.0,143934.47
292750,PRINCIPAL COTA,BCS00650125,2025.0,36,0.0,0.0,91183.36
294745,PRINCIPAL COTA,BCS00746125,2025.0,36,0.0,0.0,144342.21
295087,PRINCIPAL COTA,BCS00763125,2025.0,36,0.0,0.0,61133.0
297481,PRINCIPAL COTA,BCS10450125,2025.0,36,0.0,0.0,79244.01
297937,PRINCIPAL COTA,BCS10661125,2025.0,36,0.0,0.0,53934.26
298165,PRINCIPAL COTA,BCS20364125,2025.0,36,0.0,0.0,43200.0
300730,PRINCIPAL COTA,BHE00063125,2025.0,36,0.0,0.0,30785.11
302098,PRINCIPAL COTA,BHE00204125,2025.0,36,0.0,0.0,169967.56
308026,PRINCIPAL COTA,BHE00860125,2025.0,36,0.0,0.0,124425.59
312130,PRINCIPAL COTA,BHS00067125,2025.0,36,0.0,0.0,24966.99
313099,PRINCIPAL COTA,BHS00150125,2025.0,36,0.0,0.0,15843.24
313783,PRINCIPAL COTA,BHS00255125,2025.0,36,0.0,0.0,37958.59
314467,PRINCIPAL COTA,BHS00327125,2025.0,36,0.0,0.0,170029.53
314581,PRINCIPAL COTA,BHS00335125,2025.0,36,0.0,0.0,129884.74
314923,PRINCIPAL COTA,BHS00391125,2025.0,36,0.0,0.0,54844.63
315493,PRINCIPAL COTA,BHS00409125,2025.0,36,0.0,0.0,184944.82
316576,PRINCIPAL COTA,BHS00504125,2025.0,36,0.0,0.0,26643.13
317089,PRINCIPAL COTA,BHS00551125,2025.0,36,0.0,0.0,100494.41
318115,PRINCIPAL COTA,BHS00616125,2025.0,36,0.0,0.0,59492.41
318229,PRINCIPAL COTA,BHS00620125,2025.0,36,0.0,0.0,18297.13
318286,PRINCIPAL COTA,BHS00630125,2025.0,36,0.0,0.0,74185.94
318514,PRINCIPAL COTA,BHS00643125,2025.0,36,0.0,0.0,105248.85
326152,PRINCIPAL COTA,BLS00032125,2025.0,36,0.0,0.0,25376.0
328945,PRINCIPAL COTA,BLS00154125,2025.0,36,0.0,0.0,14046.07
330712,PRINCIPAL COTA,BLS00239125,2025.0,36,0.0,0.0,171891.59
330997,PRINCIPAL COTA,BLS00254125,2025.0,36,0.0,0.0,12300.35
331339,PRINCIPAL COTA,BLS00268125,2025.0,36,0.0,0.0,36023.65
331396,PRINCIPAL COTA,BLS00278125,2025.0,36,0.0,0.0,27907.43
331795,PRINCIPAL COTA,BLS00296125,2025.0,36,0.0,0.0,22243.0
332137,PRINCIPAL COTA,BLS00344125,2025.0,36,0.0,0.0,80540.34
333904,PRINCIPAL COTA,BLS00475125,2025.0,36,0.0,0.0,39022.71
336127,PRINCIPAL COTA,BLS00600125,2025.0,36,0.0,0.0,68051.3
337096,PRINCIPAL COTA,BLS00669125,2025.0,36,0.0,0.0,46133.96
338521,PRINCIPAL COTA,BLS10037125,2025.0,36,0.0,0.0,18135.14
338863,PRINCIPAL COTA,BLS10052125,2025.0,36,0.0,0.0,13718.25
339490,PRINCIPAL COTA,BLS10213125,2025.0,36,0.0,0.0,7918.29
341884,PRINCIPAL COTA,BWS20081125,2025.0,36,0.0,0.0,66874.93
342910,PRINCIPAL COTA,DAB02013025,2025.0,36,0.0,0.0,92726.4
345361,PRINCIPAL COTA,DAB02852025,2025.0,36,0.0,0.0,14416.91
348553,PRINCIPAL COTA,DAB04654025,2025.0,36,0.0,0.0,22219.78
348667,PRINCIPAL COTA,DAB04666025,2025.0,36,0.0,0.0,8104.21
349123,PRINCIPAL COTA,DAB04772025,2025.0,36,0.0,0.0,8017.17
353113,PRINCIPAL COTA,DAB08114025,2025.0,36,0.0,0.0,17669.9
353683,PRINCIPAL COTA,DAB08134025,2025.0,36,0.0,0.0,26152.35
353854,PRINCIPAL COTA,DAB08138025,2025.0,36,0.0,0.0,69060.46
354025,PRINCIPAL COTA,DAB08146025,2025.0,36,0.0,0.0,50834.99
355906,PRINCIPAL COTA,DAB08222025,2025.0,36,0.0,0.0,27932.8
356419,PRINCIPAL COTA,DAB08253025,2025.0,36,0.0,0.0,62259.07
358129,PRINCIPAL COTA,DAB09086025,2025.0,36,0.0,0.0,29382.28
358300,PRINCIPAL COTA,DAB09111025,2025.0,36,0.0,0.0,21184.26
358357,PRINCIPAL COTA,DAB09114025,2025.0,36,0.0,0.0,16934.68
358642,PRINCIPAL COTA,DAB09144025,2025.0,36,0.0,0.0,21988.1
358756,PRINCIPAL COTA,DAB09146025,2025.0,36,0.0,0.0,21807.67
359953,PRINCIPAL COTA,DAB09240025,2025.0,36,0.0,0.0,22728.53
360409,PRINCIPAL COTA,DAB09271025,2025.0,36,0.0,0.0,30724.96
361093,PRINCIPAL COTA,DAB12690025,2025.0,36,0.0,0.0,47125.89
361948,PRINCIPAL COTA,DAB14690025,2025.0,36,0.0,0.0,16315.8
362062,PRINCIPAL COTA,DAB14805025,2025.0,36,0.0,0.0,13640.47
362119,PRINCIPAL COTA,DAB14852025,2025.0,36,0.0,0.0,20475.91
362404,PRINCIPAL COTA,DAB18056025,2025.0,36,0.0,0.0,43145.61
362461,PRINCIPAL COTA,DAB18059025,2025.0,36,0.0,0.0,82587.07
362860,PRINCIPAL COTA,DAB18184025,2025.0,36,0.0,0.0,45431.65
363487,PRINCIPAL COTA,DAB19009025,2025.0,36,0.0,0.0,31620.38
363943,PRINCIPAL COTA,DAB22881025,2025.0,36,0.0,0.0,60642.18
366109,PRINCIPAL COTA,DAC00066020,2025.0,36,0.0,0.0,8000.0
366565,PRINCIPAL COTA,DAC00070020,2025.0,36,0.0,0.0,8200.0
367648,PRINCIPAL COTA,DAC00093020,2025.0,36,0.0,0.0,6797.14
368560,PRINCIPAL COTA,DAC00121020,2025.0,36,0.0,0.0,8017.2
369073,PRINCIPAL COTA,DAC00139020,2025.0,36,0.0,0.0,7545.6
369415,PRINCIPAL COTA,DAC00153020,2025.0,36,0.0,0.0,7498.44
371239,PRINCIPAL COTA,DAC00210025,2025.0,36,0.0,0.0,17200.65
378307,PRINCIPAL COTA,DAE01054118,2025.0,36,0.0,0.0,14150.0
379561,PRINCIPAL COTA,DAE01085139,2025.0,36,0.0,0.0,7300.0
383494,PRINCIPAL COTA,DAE02098025,2025.0,36,0.0,0.0,87319.72
387142,PRINCIPAL COTA,DAE02953025,2025.0,36,0.0,0.0,21043.68
387313,PRINCIPAL COTA,DAE02988189,2025.0,36,0.0,0.0,48474.0
391417,PRINCIPAL COTA,DAE04355025,2025.0,36,0.0,0.0,5200.0
394210,PRINCIPAL COTA,DAE05101004,2025.0,36,0.0,0.0,8600.0
399454,PRINCIPAL COTA,DAE06544122,2025.0,36,0.0,0.0,7087.6
