,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
10929,PRINCIPAL COTA,BLS00022125,2025.0,39,0.329782,19408.67,6400.63,0.0007,0.9037,6336.6,0.99,0.79,6.0,658577.45,1.0,0.86,B,0.95
8321,PRINCIPAL COTA,BHE00687125,2025.0,39,0.324,168391.54,54558.86,0.006,0.3555,48557.4,0.89,0.79,12.0,658578.34,1.0,0.7,A,0.98
13912,PRINCIPAL COTA,DAB04702025,2025.0,39,0.323858,15709.75,5087.73,0.0006,0.9275,2442.1,0.48,0.79,7.199999999999999,658578.82,1.0,0.87,B,0.95
7487,PRINCIPAL COTA,BCS10472125,2025.0,39,0.323661,70795.83,22913.85,0.0025,0.6164,13977.4,0.61,0.79,6.0,658579.43,1.0,0.78,A,0.98
24443,PRINCIPAL COTA,DCE00844189,2025.0,39,0.320581,6900.01,2212.01,0.0002,0.9764,1349.3,0.61,0.79,10.285714285714285,658580.04,1.0,0.89,B,0.95
16880,PRINCIPAL COTA,DAC00212020,2025.0,39,0.318499,12634.8,4024.17,0.0004,0.9452,3340.1,0.83,0.8,12.0,658580.87,1.0,0.84,B,0.95
4151,PRINCIPAL COTA,BAS02617125,2025.0,39,0.316814,316929.3,100407.64,0.0111,0.1707,82334.3,0.82,0.8,12.0,658581.69,1.0,0.61,A,0.98
21892,PRINCIPAL COTA,DAR02450025,2025.0,39,0.316015,57714.77,18238.73,0.002,0.6949,4742.1,0.26,0.8,4.0,658581.95,1.0,0.77,A,0.98
21368,PRINCIPAL COTA,DAR02017025,2025.0,39,0.315995,21859.54,6907.51,0.0008,0.8959,5733.2,0.83,0.8,12.0,658582.78,1.0,0.83,B,0.95
24732,PRINCIPAL COTA,DCE01004189,2025.0,39,0.31526,10143.0,3197.68,0.0004,0.9612,1215.1,0.38,0.8,4.8,658583.16,1.0,0.85,B,0.95
