,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
4272,SUCURSAL BARRANQUILLA,BAX00047125,2025.0,39,0.0,369560.48,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4280,SUCURSAL BARRANQUILLA,BAX00049125,2025.0,39,0.0,340683.39,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4289,SUCURSAL BARRANQUILLA,BAX00122125,2025.0,39,0.0,411976.08,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4297,SUCURSAL BARRANQUILLA,BAX00193125,2025.0,39,0.0,39509.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4308,SUCURSAL BARRANQUILLA,BAX02738125,2025.0,39,0.0,55475.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4316,SUCURSAL BARRANQUILLA,BAX02772125,2025.0,39,0.0,60162.5,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4325,SUCURSAL BARRANQUILLA,BAX10046125,2025.0,39,0.0,77363.51,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4333,SUCURSAL BARRANQUILLA,BAX12772125,2025.0,39,0.0,1.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4341,SUCURSAL BARRANQUILLA,BCE00028125,2025.0,39,0.0,25914.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4349,SUCURSAL BARRANQUILLA,BCE00043125,2025.0,39,0.0,16602.01,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4366,SUCURSAL BARRANQUILLA,BCE00059125,2025.0,39,0.0,12573.98,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4390,SUCURSAL BARRANQUILLA,BCE00073125,2025.0,39,0.0,13218.76,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4398,SUCURSAL BARRANQUILLA,BCE00084125,2025.0,39,0.0,18202.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4407,SUCURSAL BARRANQUILLA,BCE00116125,2025.0,39,0.0,68023.7,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4423,SUCURSAL BARRANQUILLA,BCE00124125,2025.0,39,0.0,13309.86,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4432,SUCURSAL BARRANQUILLA,BCE00126125,2025.0,39,0.0,8164.8,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4440,SUCURSAL BARRANQUILLA,BCE00128125,2025.0,39,0.0,19389.82,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4449,SUCURSAL BARRANQUILLA,BCE00167125,2025.0,39,0.0,12385.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4466,SUCURSAL BARRANQUILLA,BCE00256125,2025.0,39,0.0,32275.6,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4482,SUCURSAL BARRANQUILLA,BCE00329125,2025.0,39,0.0,42307.48,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4498,SUCURSAL BARRANQUILLA,BCE00336125,2025.0,39,0.0,8486.09,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4506,SUCURSAL BARRANQUILLA,BCE00369125,2025.0,39,0.0,10937.02,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4539,SUCURSAL BARRANQUILLA,BCE00471125,2025.0,39,0.0,17679.03,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4547,SUCURSAL BARRANQUILLA,BCE00502125,2025.0,39,0.0,18695.98,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4555,SUCURSAL BARRANQUILLA,BCE00510125,2025.0,39,0.0,18425.81,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4563,SUCURSAL BARRANQUILLA,BCE00514125,2025.0,39,0.0,32523.52,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4581,SUCURSAL BARRANQUILLA,BCE00554125,2025.0,39,0.0,7407.33,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4590,SUCURSAL BARRANQUILLA,BCE00599125,2025.0,39,0.0,26026.09,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4598,SUCURSAL BARRANQUILLA,BCE00600125,2025.0,39,0.0,8590.02,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4638,SUCURSAL BARRANQUILLA,BCE00622125,2025.0,39,0.0,20304.37,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4662,SUCURSAL BARRANQUILLA,BCE00637125,2025.0,39,0.0,8359.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4670,SUCURSAL BARRANQUILLA,BCE00639125,2025.0,39,0.0,43307.4,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4694,SUCURSAL BARRANQUILLA,BCE00681125,2025.0,39,0.0,21657.79,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4702,SUCURSAL BARRANQUILLA,BCE00683125,2025.0,39,0.0,91799.38,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4711,SUCURSAL BARRANQUILLA,BCE00710125,2025.0,39,0.0,77613.43,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4751,SUCURSAL BARRANQUILLA,BCE00737125,2025.0,39,0.0,30806.31,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4767,SUCURSAL BARRANQUILLA,BCE00746125,2025.0,39,0.0,49218.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4800,SUCURSAL BARRANQUILLA,BCE00775125,2025.0,39,0.0,74086.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4808,SUCURSAL BARRANQUILLA,BCE00779125,2025.0,39,0.0,42493.94,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4849,SUCURSAL BARRANQUILLA,BCE00823125,2025.0,39,0.0,9224.26,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4857,SUCURSAL BARRANQUILLA,BCE00840125,2025.0,39,0.0,23663.33,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4873,SUCURSAL BARRANQUILLA,BCE00850125,2025.0,39,0.0,33365.98,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4881,SUCURSAL BARRANQUILLA,BCE00851125,2025.0,39,0.0,1929.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4889,SUCURSAL BARRANQUILLA,BCE00852125,2025.0,39,0.0,1.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4897,SUCURSAL BARRANQUILLA,BCE00853125,2025.0,39,0.0,87206.5,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4906,SUCURSAL BARRANQUILLA,BCE00858125,2025.0,39,0.0,53212.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4914,SUCURSAL BARRANQUILLA,BCE00861125,2025.0,39,0.0,15304.57,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4922,SUCURSAL BARRANQUILLA,BCE00863125,2025.0,39,0.0,82477.92,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4930,SUCURSAL BARRANQUILLA,BCE00869125,2025.0,39,0.0,3820.62,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4938,SUCURSAL BARRANQUILLA,BCE00879125,2025.0,39,0.0,84409.55,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4946,SUCURSAL BARRANQUILLA,BCE00885125,2025.0,39,0.0,78672.82,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4954,SUCURSAL BARRANQUILLA,BCE00888125,2025.0,39,0.0,50918.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4964,SUCURSAL BARRANQUILLA,BCE00898125,2025.0,39,0.0,74154.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4980,SUCURSAL BARRANQUILLA,BCE00901125,2025.0,39,0.0,32972.16,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
4988,SUCURSAL BARRANQUILLA,BCE00902125,2025.0,39,0.0,35989.97,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5005,SUCURSAL BARRANQUILLA,BCE00924125,2025.0,39,0.0,28102.22,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5013,SUCURSAL BARRANQUILLA,BCE00940125,2025.0,39,0.0,20300.58,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5021,SUCURSAL BARRANQUILLA,BCE00941125,2025.0,39,0.0,7160.63,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5046,SUCURSAL BARRANQUILLA,BCE00967125,2025.0,39,0.0,38951.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5054,SUCURSAL BARRANQUILLA,BCE00984125,2025.0,39,0.0,231304.89,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5094,SUCURSAL BARRANQUILLA,BCE00998125,2025.0,39,0.0,315068.37,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5102,SUCURSAL BARRANQUILLA,BCE01000125,2025.0,39,0.0,79575.3,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5110,SUCURSAL BARRANQUILLA,BCE01004125,2025.0,39,0.0,0.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5118,SUCURSAL BARRANQUILLA,BCE01013125,2025.0,39,0.0,128851.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5126,SUCURSAL BARRANQUILLA,BCE01038125,2025.0,39,0.0,88496.1,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5159,SUCURSAL BARRANQUILLA,BCE10376125,2025.0,39,0.0,20079.69,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5183,SUCURSAL BARRANQUILLA,BCE10544125,2025.0,39,0.0,0.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5199,SUCURSAL BARRANQUILLA,BCE10606125,2025.0,39,0.0,19796.87,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5207,SUCURSAL BARRANQUILLA,BCE10630125,2025.0,39,0.0,38233.4,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5216,SUCURSAL BARRANQUILLA,BCE10727125,2025.0,39,0.0,99413.26,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5224,SUCURSAL BARRANQUILLA,BCE10775125,2025.0,39,0.0,10347.94,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5232,SUCURSAL BARRANQUILLA,BCE10900125,2025.0,39,0.0,129794.71,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5240,SUCURSAL BARRANQUILLA,BCE10915125,2025.0,39,0.0,138490.03,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5248,SUCURSAL BARRANQUILLA,BCE10918125,2025.0,39,0.0,122778.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5257,SUCURSAL BARRANQUILLA,BCE10968125,2025.0,39,0.0,145091.44,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5273,SUCURSAL BARRANQUILLA,BCE11021125,2025.0,39,0.0,312826.27,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5281,SUCURSAL BARRANQUILLA,BCE20256125,2025.0,39,0.0,32221.85,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5289,SUCURSAL BARRANQUILLA,BCE30128125,2025.0,39,0.0,13569.3,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5297,SUCURSAL BARRANQUILLA,BCE30376125,2025.0,39,0.0,20532.1,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5313,SUCURSAL BARRANQUILLA,BCE30606125,2025.0,39,0.0,19946.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5321,SUCURSAL BARRANQUILLA,BCE30630125,2025.0,39,0.0,54576.71,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5329,SUCURSAL BARRANQUILLA,BCF00016125,2025.0,39,0.0,43936.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5346,SUCURSAL BARRANQUILLA,BCS00011125,2025.0,39,0.0,37172.07,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5370,SUCURSAL BARRANQUILLA,BCS00016125,2025.0,39,0.0,23830.07,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5402,SUCURSAL BARRANQUILLA,BCS00026125,2025.0,39,0.0,36527.33,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5450,SUCURSAL BARRANQUILLA,BCS00034125,2025.0,39,0.0,38759.83,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5554,SUCURSAL BARRANQUILLA,BCS00085125,2025.0,39,0.0,36460.37,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5570,SUCURSAL BARRANQUILLA,BCS00088125,2025.0,39,0.0,24419.55,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5626,SUCURSAL BARRANQUILLA,BCS00126125,2025.0,39,0.0,60006.33,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5668,SUCURSAL BARRANQUILLA,BCS00165125,2025.0,39,0.0,47574.72,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5676,SUCURSAL BARRANQUILLA,BCS00172125,2025.0,39,0.0,68669.86,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5684,SUCURSAL BARRANQUILLA,BCS00173125,2025.0,39,0.0,72538.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5716,SUCURSAL BARRANQUILLA,BCS00196125,2025.0,39,0.0,8392.65,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5756,SUCURSAL BARRANQUILLA,BCS00228125,2025.0,39,0.0,35404.17,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5796,SUCURSAL BARRANQUILLA,BCS00238125,2025.0,39,0.0,36935.82,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5860,SUCURSAL BARRANQUILLA,BCS00266125,2025.0,39,0.0,55350.1,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5884,SUCURSAL BARRANQUILLA,BCS00273125,2025.0,39,0.0,46034.26,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5924,SUCURSAL BARRANQUILLA,BCS00293125,2025.0,39,0.0,4200.09,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
5988,SUCURSAL BARRANQUILLA,BCS00310125,2025.0,39,0.0,93955.1,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6053,SUCURSAL BARRANQUILLA,BCS00334125,2025.0,39,0.0,10663.72,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6061,SUCURSAL BARRANQUILLA,BCS00336125,2025.0,39,0.0,41900.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6101,SUCURSAL BARRANQUILLA,BCS00346125,2025.0,39,0.0,98843.37,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6125,SUCURSAL BARRANQUILLA,BCS00351125,2025.0,39,0.0,20267.1,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6141,SUCURSAL BARRANQUILLA,BCS00355125,2025.0,39,0.0,49583.12,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6184,SUCURSAL BARRANQUILLA,BCS00389125,2025.0,39,0.0,1.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6200,SUCURSAL BARRANQUILLA,BCS00423125,2025.0,39,0.0,80501.2,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6208,SUCURSAL BARRANQUILLA,BCS00424125,2025.0,39,0.0,122712.2,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6224,SUCURSAL BARRANQUILLA,BCS00426125,2025.0,39,0.0,30856.81,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6240,SUCURSAL BARRANQUILLA,BCS00428125,2025.0,39,0.0,84542.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6248,SUCURSAL BARRANQUILLA,BCS00429125,2025.0,39,0.0,139451.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6289,SUCURSAL BARRANQUILLA,BCS00441125,2025.0,39,0.0,43753.57,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6297,SUCURSAL BARRANQUILLA,BCS00443125,2025.0,39,0.0,30530.37,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6321,SUCURSAL BARRANQUILLA,BCS00461125,2025.0,39,0.0,50509.66,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6337,SUCURSAL BARRANQUILLA,BCS00465125,2025.0,39,0.0,55004.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6345,SUCURSAL BARRANQUILLA,BCS00472125,2025.0,39,0.0,33163.67,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6353,SUCURSAL BARRANQUILLA,BCS00476125,2025.0,39,0.0,7921.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6361,SUCURSAL BARRANQUILLA,BCS00481125,2025.0,39,0.0,78299.39,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6393,SUCURSAL BARRANQUILLA,BCS00485125,2025.0,39,0.0,47448.84,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6401,SUCURSAL BARRANQUILLA,BCS00492125,2025.0,39,0.0,11323.82,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6451,SUCURSAL BARRANQUILLA,BCS00512125,2025.0,39,0.0,104478.07,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6467,SUCURSAL BARRANQUILLA,BCS00522125,2025.0,39,0.0,72004.4,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6523,SUCURSAL BARRANQUILLA,BCS00537125,2025.0,39,0.0,38228.41,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6531,SUCURSAL BARRANQUILLA,BCS00538125,2025.0,39,0.0,59155.24,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6555,SUCURSAL BARRANQUILLA,BCS00549125,2025.0,39,0.0,63979.69,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6563,SUCURSAL BARRANQUILLA,BCS00550125,2025.0,39,0.0,13871.97,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6588,SUCURSAL BARRANQUILLA,BCS00558125,2025.0,39,0.0,47840.23,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6628,SUCURSAL BARRANQUILLA,BCS00567125,2025.0,39,0.0,142166.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6668,SUCURSAL BARRANQUILLA,BCS00576125,2025.0,39,0.0,34580.36,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6684,SUCURSAL BARRANQUILLA,BCS00584125,2025.0,39,0.0,76494.18,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6700,SUCURSAL BARRANQUILLA,BCS00586125,2025.0,39,0.0,115027.17,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6740,SUCURSAL BARRANQUILLA,BCS00602125,2025.0,39,0.0,85182.32,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6764,SUCURSAL BARRANQUILLA,BCS00613125,2025.0,39,0.0,54276.67,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6780,SUCURSAL BARRANQUILLA,BCS00626125,2025.0,39,0.0,16254.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6804,SUCURSAL BARRANQUILLA,BCS00629125,2025.0,39,0.0,20663.69,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6812,SUCURSAL BARRANQUILLA,BCS00633125,2025.0,39,0.0,24814.23,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6820,SUCURSAL BARRANQUILLA,BCS00634125,2025.0,39,0.0,110801.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6846,SUCURSAL BARRANQUILLA,BCS00650125,2025.0,39,0.0,91183.36,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6855,SUCURSAL BARRANQUILLA,BCS00653125,2025.0,39,0.0,67692.59,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6864,SUCURSAL BARRANQUILLA,BCS00672125,2025.0,39,0.0,66590.05,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6872,SUCURSAL BARRANQUILLA,BCS00673125,2025.0,39,0.0,161069.09,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6880,SUCURSAL BARRANQUILLA,BCS00676125,2025.0,39,0.0,13222.41,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6898,SUCURSAL BARRANQUILLA,BCS00689125,2025.0,39,0.0,59552.63,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6923,SUCURSAL BARRANQUILLA,BCS00696125,2025.0,39,0.0,56661.78,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6932,SUCURSAL BARRANQUILLA,BCS00700125,2025.0,39,0.0,31689.46,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6948,SUCURSAL BARRANQUILLA,BCS00702125,2025.0,39,0.0,14114.0,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6956,SUCURSAL BARRANQUILLA,BCS00705125,2025.0,39,0.0,122457.18,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
6996,SUCURSAL BARRANQUILLA,BCS00711125,2025.0,39,0.0,62130.57,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
7004,SUCURSAL BARRANQUILLA,BCS00712125,2025.0,39,0.0,8645.18,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
7028,SUCURSAL BARRANQUILLA,BCS00720125,2025.0,39,0.0,244391.29,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
7036,SUCURSAL BARRANQUILLA,BCS00724125,2025.0,39,0.0,98782.28,0.0,0.0,0.9987,0.0,0.0,1.0,0.0,4250761.46,0.0,1.0,C,0.5
