,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
47,SUCURSAL CALI,AGB0GRAS030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,267417.44
48,SUCURSAL CALLE 6,AGB0GRAS030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,267417.44
49,SUCURSAL MEDELLIN,AGB0GRAS030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,267417.44
50,SUCURSAL NORTE,AGB0GRAS030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,267417.44
51,SUCURSAL VALLADOLID,AGB0GRAS030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,267417.44
52,PRINCIPAL COTA,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
53,SUCURSAL BARRANQUILLA,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
54,SUCURSAL BUCARAMANGA,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
55,SUCURSAL CALI,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
56,SUCURSAL CALLE 6,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
57,SUCURSAL MEDELLIN,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
58,SUCURSAL NORTE,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,26.84
59,SUCURSAL VALLADOLID,AGBGRASA030,2025.0,2025-09-09 00:00:00,37,0.0,10.891635,0.0,0.78,12.0,26.84
60,0,AHB0AW68116,0.0,0,0,0.0,0.0,0.0,0.0,0.0,317624.69
61,0,AHB0HO46132,0.0,0,0,0.0,0.0,0.0,0.0,0.0,207292.05
62,0,AHB0TO10132,0.0,0,0,0.0,0.0,0.0,0.0,0.0,222947.69
63,PRINCIPAL COTA,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
64,SUCURSAL BARRANQUILLA,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
65,SUCURSAL BUCARAMANGA,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
66,SUCURSAL CALI,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
67,SUCURSAL CALLE 6,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
68,SUCURSAL MEDELLIN,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
69,SUCURSAL NORTE,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
70,SUCURSAL VALLADOLID,AHB0TO30132,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,222947.69
71,PRINCIPAL COTA,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
72,SUCURSAL BARRANQUILLA,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
73,SUCURSAL BUCARAMANGA,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
74,SUCURSAL CALI,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
75,SUCURSAL CALLE 6,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
76,SUCURSAL MEDELLIN,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
77,SUCURSAL NORTE,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
78,SUCURSAL VALLADOLID,AHB80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,313811.44
79,PRINCIPAL COTA,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
80,SUCURSAL BARRANQUILLA,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
81,SUCURSAL BUCARAMANGA,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
82,SUCURSAL CALI,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
83,SUCURSAL CALLE 6,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
84,SUCURSAL MEDELLIN,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
85,SUCURSAL NORTE,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
86,SUCURSAL VALLADOLID,AHB80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,460139.21
87,0,AHB80W90052,0.0,0,0,0.0,0.0,0.0,0.0,0.0,300026.46
88,0,AHB85W14030,0.0,0,0,0.0,0.0,0.0,0.0,0.0,261006.0
89,PRINCIPAL COTA,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
90,SUCURSAL BARRANQUILLA,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
91,SUCURSAL BUCARAMANGA,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
92,SUCURSAL CALI,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
93,SUCURSAL CALLE 6,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.024738,0.0,106230.33,0.0,469317.32
94,SUCURSAL MEDELLIN,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
95,SUCURSAL NORTE,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
96,SUCURSAL VALLADOLID,AHB85W14050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,469317.32
97,PRINCIPAL COTA,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
98,SUCURSAL BARRANQUILLA,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
99,SUCURSAL BUCARAMANGA,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
100,SUCURSAL CALI,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
101,SUCURSAL CALLE 6,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
102,SUCURSAL MEDELLIN,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
103,SUCURSAL NORTE,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
104,SUCURSAL VALLADOLID,AHB85W14052,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,314317.66
105,PRINCIPAL COTA,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.26253,0.0,0.9,12.0,342304.08
106,SUCURSAL BARRANQUILLA,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.074986,0.0,1.29,12.0,342304.08
107,SUCURSAL BUCARAMANGA,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,342304.08
108,SUCURSAL CALI,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,342304.08
109,SUCURSAL CALLE 6,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.203525,0.0,1.4,12.0,342304.08
110,SUCURSAL MEDELLIN,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,342304.08
111,SUCURSAL NORTE,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,0.155621,0.0,0.49,6.0,342304.08
112,SUCURSAL VALLADOLID,AHBNTO68030,2025.0,2025-09-09 00:00:00,37,0.0,5e-06,0.0,18.1,0.0,342304.08
113,PRINCIPAL COTA,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
