,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
92535,MOSTRADOR COTA,BLS00644125,2025.0,36,0.536286,2.0,22887.59
94443,MOSTRADOR COTA,BLS10050125,2025.0,36,1.809502,4.0,14670.17
94814,MOSTRADOR COTA,BLS10141125,2025.0,36,0.535785,1.0,87824.01
95185,MOSTRADOR COTA,BLS10286125,2025.0,36,1.578538,2.0,94550.23
97517,MOSTRADOR COTA,BWS60078125,2025.0,36,0.461518,2.0,19364.96
98577,MOSTRADOR COTA,DAB02028025,2025.0,36,0.701382,1.0,20835.64
98683,MOSTRADOR COTA,DAB02524025,2025.0,36,1.03882,1.0,51706.08
98895,MOSTRADOR COTA,DAB02570025,2025.0,36,26.057585,22.0,13507.71
99372,MOSTRADOR COTA,DAB02666025,2025.0,36,2.53946,3.0,11371.65
99425,MOSTRADOR COTA,DAB02671025,2025.0,36,4.89331,1.0,7630.5
99584,MOSTRADOR COTA,DAB02690025,2025.0,36,0.466413,1.0,33037.07
99690,MOSTRADOR COTA,DAB02702025,2025.0,36,4.018776,2.0,37347.94
100167,MOSTRADOR COTA,DAB02783025,2025.0,36,3.292775,3.0,25921.71
100220,MOSTRADOR COTA,DAB02788025,2025.0,36,6.117765,2.0,21285.17
100591,MOSTRADOR COTA,DAB02856025,2025.0,36,0.514782,1.0,26249.95
101704,MOSTRADOR COTA,DAB02937025,2025.0,36,4.304875,3.0,31327.41
101757,MOSTRADOR COTA,DAB02946025,2025.0,36,0.43905,2.0,17678.37
101969,MOSTRADOR COTA,DAB02968025,2025.0,36,6.262181,21.0,20422.35
102499,MOSTRADOR COTA,DAB02982025,2025.0,36,3.450929,3.0,48785.61
102976,MOSTRADOR COTA,DAB04028025,2025.0,36,0.701382,1.0,11646.81
103824,MOSTRADOR COTA,DAB04690025,2025.0,36,0.465399,1.0,12683.06
104142,MOSTRADOR COTA,DAB04783025,2025.0,36,2.240559,3.0,11951.86
104195,MOSTRADOR COTA,DAB04788025,2025.0,36,0.533418,2.0,11364.7
105149,MOSTRADOR COTA,DAB04937025,2025.0,36,3.277244,3.0,11527.63
105202,MOSTRADOR COTA,DAB04946025,2025.0,36,0.439046,2.0,10220.85
105361,MOSTRADOR COTA,DAB04968025,2025.0,36,3.268387,9.0,10352.73
105573,MOSTRADOR COTA,DAB04982025,2025.0,36,2.561344,2.0,24978.02
105891,MOSTRADOR COTA,DAB08010025,2025.0,36,0.932473,3.0,39754.24
106209,MOSTRADOR COTA,DAB08027025,2025.0,36,0.203566,1.0,35308.46
107640,MOSTRADOR COTA,DAB08108025,2025.0,36,1.208492,2.0,20187.1
108912,MOSTRADOR COTA,DAB08161025,2025.0,36,1.172807,3.0,17481.48
109071,MOSTRADOR COTA,DAB08168025,2025.0,36,3.166213,2.0,18729.84
109177,MOSTRADOR COTA,DAB08170025,2025.0,36,3.838901,16.0,16758.17
109601,MOSTRADOR COTA,DAB08190025,2025.0,36,0.916243,4.0,22069.66
109654,MOSTRADOR COTA,DAB08191025,2025.0,36,0.305947,1.0,32226.55
110661,MOSTRADOR COTA,DAB08240025,2025.0,36,0.202306,1.0,56181.98
110926,MOSTRADOR COTA,DAB08256025,2025.0,36,1.305454,2.0,23528.48
111827,MOSTRADOR COTA,DAB09027025,2025.0,36,0.203566,1.0,21904.61
113682,MOSTRADOR COTA,DAB09213025,2025.0,36,1.019374,2.0,15179.24
114106,MOSTRADOR COTA,DAB09240025,2025.0,36,0.202306,1.0,22728.53
115378,MOSTRADOR COTA,DAB12852025,2025.0,36,0.592197,2.0,23425.45
115802,MOSTRADOR COTA,DAB14570025,2025.0,36,25.214302,22.0,9774.98
115855,MOSTRADOR COTA,DAB14666025,2025.0,36,2.253037,3.0,12885.22
118505,MOSTRADOR COTA,DAC00037189,2025.0,36,0.380738,1.0,5315.94
123487,MOSTRADOR COTA,DAC00174025,2025.0,36,0.4,2.0,56291.03
124706,MOSTRADOR COTA,DAC00212020,2025.0,36,0.210171,1.0,12634.8
